dates,league,name,link
Nov 6 - Jan 16 2015,NA,2015 Lady Star League,http://lol.esportspedia.com/wiki/Lady_Star_League/2015_Season
Dec 12 - Jan 13 2015,NA Challenger Series,2016 NA CS Spring Open Qualifier,http://lol.esportspedia.com/wiki/NA_Challenger_Series/2016_Season/Spring_Qualifiers/Open_Qualifier
Dec 6 - Jan 11 2015,JCG Premier League,2015 JCG Premier League Winter,http://lol.esportspedia.com/wiki/2015_JCG_Premier_League/Winter_Season
Dec 12 - Jan 6 2015,EU Challenger Series,2016 EU CS Spring Open Qualifier,http://lol.esportspedia.com/wiki/EU_Challenger_Series/2016_Season/Spring_Qualifiers/Open_Qualifier
Dec 19 - Dec 27 2015,LMS,2016 LMS Spring Promotion,http://lol.esportspedia.com/wiki/LMS/2016_Season/Spring_Promotion
Dec 6 - Dec 20 2015,NA,Sudamerican Master League,http://lol.esportspedia.com/wiki/Sudamerican_Master_League
Dec 18 - Dec 20 2015,Intel Extreme Masters,IEM Season X Cologne,http://lol.esportspedia.com/wiki/IEM_Season_X_-_Cologne
Dec 17 - Dec 20 2015,World Cyber Arena,World Cyber Arena 2015,http://lol.esportspedia.com/wiki/World_Cyber_Arena_2015
Sep 10 - Dec 20 2015,The Legends Circuit,2015 TLC Winter MY,http://lol.esportspedia.com/wiki/2015_The_Legends_Circuit/Winter/Malaysia
Sep 10 - Dec 20 2015,The Legends Circuit,2015 TLC Winter SG,http://lol.esportspedia.com/wiki/2015_The_Legends_Circuit/Winter/Singapore
Dec 3 - Dec 19 2015,NA,Millenium Predator Tournament 2015,http://lol.esportspedia.com/wiki/Millenium_Predator_Tournament_2015
Oct 21 - Dec 16 2015,Brazil Mega Cup 2015,Brazil Mega Cup 2015,http://lol.esportspedia.com/wiki/Brazil_Mega_Cup_2015
Dec 10 - Dec 13 2015,Riot Games Inc.,All-Star Los Angeles 2015,http://lol.esportspedia.com/wiki/All-Star_Los_Angeles_2015
Dec 12 - Dec 13 2015,ASUS ROG,ASUS Republic of Gamers 2015,http://lol.esportspedia.com/wiki/ASUS_Republic_of_Gamers_2015
Dec 10 - Dec 13 2015,Tencent Games Arena,TGA Hero of Cities S9,http://lol.esportspedia.com/wiki/Tencent_Games_Arena_Hero_of_Cities/Season_9
Sep 2 - Dec 8 2015,Argentine Championship Series,SCA 2015,http://lol.esportspedia.com/wiki/Argentine_Championship_Series_2015
